================== ====== ====== ============ ================= ==================
             t_bjd ivisit iorbit iorbit_cumul              pos1               pos2
================== ====== ====== ============ ================= ==================
 2456365.030605767      0      0            0 513.5751003519881  400.9023915133169
2456365.0933193467      0      1            1 513.5831871134241  400.9111813814192
2456365.1597948293      0      2            2 513.5639884795908  400.9423132631601
2456365.2262823465      0      3            3 513.5889400604503  400.9387251323913
 2456366.626046778      1      0            4 513.5802999658981  400.8416831318307
 2456366.688829974      1      1            5 513.5876981245825 400.89056794294913
 2456366.755305807      1      2            6 513.6272047871058  400.8762487482847
2456366.8217931264      1      3            7 513.6367339483681  400.9059724090331
================== ====== ====== ============ ================= ==================
