===== ======== ======= ====== ======= ======== ======== ================ =================== =============== =================== ======== ========= ======= =========== ===
 wave rms_pred     rms   chi2 chi2red      bic  ln_like chi2_notrescaled chi2red_notrescaled bic_notrescaled ln_like_notrescaled uncmulti uncmulti2 npoints nfree_param dof
===== ======== ======= ====== ======= ======== ======== ================ =================== =============== =================== ======== ========= ======= =========== ===
1.158  246.802 286.915  92.68   0.997  1719.58 -824.674          146.105               1.571         1727.16            -828.464    1.094     1.197     108          15  93
1.204  229.757  257.53 93.126   1.001 1729.006 -829.387          135.496               1.457        1731.096            -830.432    1.245     1.550     108          15  93
1.250  220.485 207.115 91.986   0.989 1699.328 -814.548           95.413               1.026        1698.917            -814.343    0.998     0.996     108          15  93
1.296  212.651 220.969 92.818   0.998 1727.863 -828.816          116.495               1.253        1727.217            -828.493    1.155     1.334     108          15  93
1.342  213.003 225.596 92.113    0.99 1731.679 -830.723          121.028               1.301        1731.572             -830.67    1.094     1.197     108          15  93
1.389  219.054 232.501 91.178    0.98 1728.695 -829.232          121.291               1.304        1728.057            -828.913    1.171     1.371     108          15  93
1.435  220.028 247.525 91.959   0.989 1739.173 -834.471          136.629               1.469        1741.127            -835.447    1.201     1.442     108          15  93
1.481  222.204 236.528 92.363   0.993 1721.558 -825.663          122.239               1.314         1724.92            -827.344    0.995     0.990     108          15  93
1.527  221.247  209.07 92.192   0.991 1699.052  -814.41           96.582               1.039        1700.062            -814.915    1.105     1.221     108          15  93
1.573  221.791 219.103 92.653   0.996 1708.669 -819.218          105.258               1.132        1708.287            -819.028    1.127     1.270     108          15  93
1.619  226.247 246.182 92.282   0.992 1722.812  -826.29          127.904               1.375        1727.441            -828.605     1.01     1.020     108          15  93
===== ======== ======= ====== ======= ======== ======== ================ =================== =============== =================== ======== ========= ======= =========== ===
