#wavelength         wave_width         wave_low           wave_high          p50                p16                p84                minus              plus               maxL              
1.15804545e+00     2.30454545e-02     1.13500000e+00     1.18109091e+00     1.16251726e-01     1.15861551e-01     1.16636190e-01     3.90175124e-04     3.84464096e-04     1.16215265e-01    
1.20413636e+00     2.30454545e-02     1.18109091e+00     1.22718182e+00     1.16163257e-01     1.15805905e-01     1.16541892e-01     3.57351848e-04     3.78635596e-04     1.15974567e-01    
1.25022727e+00     2.30454545e-02     1.22718182e+00     1.27327273e+00     1.15685002e-01     1.15398621e-01     1.15974707e-01     2.86381423e-04     2.89705342e-04     1.15759608e-01    
1.29631818e+00     2.30454545e-02     1.27327273e+00     1.31936364e+00     1.15931077e-01     1.15628220e-01     1.16242732e-01     3.02857838e-04     3.11654603e-04     1.15983434e-01    
1.34240909e+00     2.30454545e-02     1.31936364e+00     1.36545455e+00     1.15806511e-01     1.15494810e-01     1.16120327e-01     3.11701242e-04     3.13816180e-04     1.15835558e-01    
1.38850000e+00     2.30454545e-02     1.36545455e+00     1.41154545e+00     1.16415949e-01     1.16092146e-01     1.16748365e-01     3.23802236e-04     3.32416003e-04     1.16524251e-01    
1.43459091e+00     2.30454545e-02     1.41154545e+00     1.45763636e+00     1.15854876e-01     1.15514348e-01     1.16189964e-01     3.40527938e-04     3.35087435e-04     1.15893762e-01    
1.48068182e+00     2.30454545e-02     1.45763636e+00     1.50372727e+00     1.15878373e-01     1.15566288e-01     1.16205192e-01     3.12085400e-04     3.26819316e-04     1.15864558e-01    
1.52677273e+00     2.30454545e-02     1.50372727e+00     1.54981818e+00     1.15953617e-01     1.15664661e-01     1.16235760e-01     2.88956634e-04     2.82142311e-04     1.15863863e-01    
1.57286364e+00     2.30454545e-02     1.54981818e+00     1.59590909e+00     1.16102938e-01     1.15794136e-01     1.16409748e-01     3.08802494e-04     3.06809688e-04     1.16073204e-01    
1.61895455e+00     2.30454545e-02     1.59590909e+00     1.64200000e+00     1.16158327e-01     1.15821426e-01     1.16505991e-01     3.36901548e-04     3.47663982e-04     1.15937821e-01    
