lam_eff (microns)	lam_min (micronns)	lam_max (microns)	c1	e1	c2	e2
1.144	1.125	1.162	0.082	0.023	0.3	0.03
1.181	1.162	1.199	0.079	0.023	0.292	0.03
1.219	1.199	1.238	0.075	0.023	0.286	0.029
1.258	1.238	1.278	0.073	0.022	0.282	0.029
1.299	1.278	1.319	0.07	0.022	0.275	0.028
1.341	1.319	1.362	0.066	0.022	0.271	0.028
1.385	1.362	1.406	0.063	0.021	0.265	0.027
1.429	1.406	1.452	0.059	0.021	0.26	0.027
1.476	1.452	1.499	0.057	0.02	0.252	0.026
1.523	1.499	1.548	0.052	0.02	0.246	0.026
1.572	1.548	1.598	0.046	0.019	0.237	0.025
1.623	1.598	1.649	0.04	0.018	0.223	0.023
