# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: nvisit, datatype: int64}
# - {name: norbit, datatype: int64}
# - {name: times, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: scan, datatype: int64}
# schema: astropy-2.0
filenames filter/grism nvisit norbit times t_orbit t_visit scan
ie3201wpq_ima.fits F130N 0 0 58888.25077866 0.0 0.0 -1
ie3201wqq_ima.fits G141 0 0 58888.25168125 1.2997295998502523 1.2997295998502523 0
ie3201wrq_ima.fits G141 0 0 58888.25297755 3.1664015958085656 3.1664015958085656 1
ie3201wtq_ima.fits G141 0 0 58888.25427421 5.033591991523281 5.033591991523281 0
ie3201wvq_ima.fits G141 0 0 58888.25557014 6.899731191806495 6.899731191806495 1
ie3201wxq_ima.fits G141 0 0 58888.25686644 8.766403198242188 8.766403198242188 0
ie3201wyq_ima.fits G141 0 0 58888.25816273 10.633060798281804 10.633060798281804 1
ie3201x0q_ima.fits G141 0 0 58888.25945903 12.499732794240117 12.499732794240117 0
ie3201x2q_ima.fits G141 0 0 58888.26075532 14.366390394279733 14.366390394279733 1
ie3201x4q_ima.fits G141 0 0 58888.26205162 16.233062390238047 16.233062390238047 0
ie3201x5q_ima.fits G141 0 0 58888.26334792 18.09973439667374 18.09973439667374 1
ie3201x7q_ima.fits G141 0 0 58888.26464421 19.966391996713355 19.966391996713355 0
ie3201x9q_ima.fits G141 0 0 58888.26594051 21.83306399267167 21.83306399267167 1
ie3201xbq_ima.fits G141 0 0 58888.26723681 23.69973599910736 23.69973599910736 0
ie3201xcq_ima.fits G141 0 0 58888.2685331 25.566393599146977 25.566393599146977 1
ie3201xeq_ima.fits G141 0 0 58888.2698294 27.43306559510529 27.43306559510529 0
ie3201xgq_ima.fits G141 0 0 58888.2711257 29.299737591063604 29.299737591063604 1
ie3201xiq_ima.fits G141 0 0 58888.27242199 31.16639519110322 31.16639519110322 0
ie3201xjq_ima.fits G141 0 0 58888.27371866 33.03359999321401 33.03359999321401 1
ie3201xlq_ima.fits G141 0 0 58888.27501458 34.89972479757853 34.89972479757853 0
ie3201xnq_ima.fits G141 0 0 58888.27631088 36.76639679353684 36.76639679353684 1
ie3201xpq_ima.fits G141 0 0 58888.27760718 38.633068799972534 38.633068799972534 0
ie3201xqq_ima.fits G141 0 0 58888.27890347 40.49972640001215 40.49972640001215 1
ie3201xsq_ima.fits G141 0 0 58888.28019977 42.366398395970464 42.366398395970464 0
ie3201xuq_ima.fits G141 0 0 58888.28149607 44.23307039192878 44.23307039192878 1
ie3201xwq_ima.fits G141 0 0 58888.28279236 46.09972799196839 46.09972799196839 0
ie3201xxq_ima.fits G141 0 0 58888.28408866 47.966399998404086 47.966399998404086 1
ie3201xzq_ima.fits F130N 0 1 58888.31687792 0.0 95.18293439294212 -1
ie3201y0q_ima.fits G141 0 1 58888.31778088 1.3002624060027301 96.48319679894485 0
ie3201y2q_ima.fits G141 0 1 58888.31907718 3.1669344019610435 98.34986879490316 1
ie3201y4q_ima.fits G141 0 1 58888.32037347 5.03359200200066 100.21652639494278 0
ie3201y6q_ima.fits G141 0 1 58888.32166977 6.900263997958973 102.08319839090109 1
ie3201y7q_ima.fits G141 0 1 58888.32296607 8.766936004394665 103.94987039733678 0
ie3201y9q_ima.fits G141 0 1 58888.32426236 10.633593604434282 105.8165279973764 1
ie3201ybq_ima.fits G141 0 1 58888.32555866 12.500265600392595 107.68319999333471 0
