# %ECSV 0.9
# ---
# datatype:
# - {name: nspectra, datatype: float64}
# - {name: t_mjd, datatype: float64}
# - {name: numoutliers, datatype: float64}
# - {name: skymedian, datatype: float64}
# - {name: shift, datatype: float64}
# - {name: '# nans', datatype: float64}
# schema: astropy-2.0
nspectra t_mjd numoutliers skymedian shift "# nans"
0.0 58888.252084215 23.0 32.97477340698242 0.0 0.0
1.0 58888.253380509996 39.0 32.346187591552734 0.0 0.0
2.0 58888.25467699 22.0 32.769927978515625 0.0 0.0
3.0 58888.255973105 34.0 32.23963928222656 0.0 0.0
4.0 58888.2572694 25.0 31.682212829589844 0.0 0.0
5.0 58888.258565694996 31.0 31.234878540039062 0.0 0.0
6.0 58888.259861989995 25.0 32.176971435546875 0.0 0.0
7.0 58888.261158285 36.0 30.880878448486328 0.0 0.0
8.0 58888.262454585 23.0 30.32763671875 0.0 0.0
9.0 58888.263750879996 31.0 29.091232299804688 0.0 0.0
10.0 58888.265047175 27.0 28.895275115966797 0.0 0.0
11.0 58888.266343475 36.0 28.222349166870117 0.0 0.0
12.0 58888.26763977 26.0 28.325271606445312 0.0 0.0
13.0 58888.268936065 31.0 27.297069549560547 0.0 0.0
14.0 58888.270232359995 25.0 28.213794708251953 0.0 0.0
15.0 58888.27152866 33.0 27.817447662353516 0.0 0.0
16.0 58888.272824955 27.0 28.323535919189453 0.0 0.0
17.0 58888.274121434995 34.0 27.599040985107422 0.0 0.0
18.0 58888.275417545 25.0 28.06790542602539 0.0 0.0
19.0 58888.276713845 32.0 27.180343627929688 0.0 0.0
20.0 58888.27801014 27.0 27.68352508544922 0.0 0.0
21.0 58888.279306435 31.0 27.195531845092773 0.0 0.0
22.0 58888.280602735 23.0 27.871490478515625 0.0 0.0
23.0 58888.28189903 39.0 27.430627822875977 0.0 0.0
24.0 58888.283195325 31.0 27.823299407958984 0.0 0.0
25.0 58888.28449162 43.0 26.7694091796875 0.0 0.0
26.0 58888.318183845 25.0 35.85271453857422 0.0 0.0
27.0 58888.319480139995 31.0 33.65850067138672 0.0 0.0
28.0 58888.320776435 26.0 32.285255432128906 0.0 0.0
29.0 58888.322072735 42.0 30.838363647460938 0.0 0.0
30.0 58888.32336903 24.0 31.085725784301758 0.0 0.0
31.0 58888.324665325 36.0 30.7835693359375 0.0 0.0
32.0 58888.32596162 23.0 31.488027572631836 0.0 0.0
33.0 58888.32725773 31.0 29.752178192138672 0.0 0.0
34.0 58888.328554215 27.0 30.082624435424805 0.0 0.0
35.0 58888.329850509996 34.0 29.881988525390625 0.0 0.0
36.0 58888.331146805 27.0 29.60912322998047 0.0 0.0
37.0 58888.332443105 35.0 28.1312255859375 0.0 0.0
38.0 58888.3337394 27.0 28.81873321533203 0.0 0.0
39.0 58888.335035694996 34.0 27.924564361572266 0.0 0.0
40.0 58888.336331989995 29.0 28.0811767578125 0.0 0.0
41.0 58888.337628099995 31.0 27.243671417236328 0.0 0.0
42.0 58888.338924585 24.0 28.148265838623047 0.0 0.0
43.0 58888.340220879996 33.0 27.621337890625 0.0 0.0
44.0 58888.341517175 27.0 28.523193359375 0.0 0.0
