# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: ivisit, datatype: int64}
# - {name: iorbit, datatype: int64}
# - {name: t_mjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: scan, datatype: int64}
# - {name: exp, datatype: float64}
# - {name: t_bjd, datatype: float64}
# schema: astropy-2.0
filenames filter/grism ivisit iorbit t_mjd t_visit t_orbit scan exp t_bjd
ie3201wpq_ima.fits F130N 0 0 58888.250788475 0.0 0.0 -1 1.706054 2458888.751738672
ie3201wqq_ima.fits G141 0 0 58888.252084215 1.8658655940089375 1.8658655940089375 0 69.61676 2458888.753034453
ie3201wrq_ima.fits G141 0 0 58888.253380509996 3.7325303920079023 3.7325303920079023 1 69.61676 2458888.7543307883
ie3201wtq_ima.fits G141 0 0 58888.25467699 5.5994615983217955 5.5994615983217955 0 69.61676 2458888.755627308
ie3201wvq_ima.fits G141 0 0 58888.255973105 7.465867196442559 7.465867196442559 1 69.61676 2458888.756923462
ie3201wxq_ima.fits G141 0 0 58888.2572694 9.332531994441524 9.332531994441524 0 69.61676 2458888.7582197953
ie3201wyq_ima.fits G141 0 0 58888.258565694996 11.199196792440489 11.199196792440489 1 69.61676 2458888.7595161274
ie3201x0q_ima.fits G141 0 0 58888.259861989995 13.065861590439454 13.065861590439454 0 69.61676 2458888.7608124586
ie3201x2q_ima.fits G141 0 0 58888.261158285 14.932526398915797 14.932526398915797 1 69.61676 2458888.7621087884
ie3201x4q_ima.fits G141 0 0 58888.262454585 16.79919839487411 16.79919839487411 0 69.61676 2458888.763405122
ie3201x5q_ima.fits G141 0 0 58888.263750879996 18.665863192873076 18.665863192873076 1 69.61676 2458888.7647014484
ie3201x7q_ima.fits G141 0 0 58888.265047175 20.53252800134942 20.53252800134942 0 69.61676 2458888.765997773
ie3201x9q_ima.fits G141 0 0 58888.266343475 22.399199997307733 22.399199997307733 1 69.61676 2458888.7672941014
ie3201xbq_ima.fits G141 0 0 58888.26763977 24.265864795306697 24.265864795306697 0 69.61676 2458888.7685904233
ie3201xcq_ima.fits G141 0 0 58888.268936065 26.132529593305662 26.132529593305662 1 69.61676 2458888.7698867433
ie3201xeq_ima.fits G141 0 0 58888.270232359995 27.999194391304627 27.999194391304627 0 69.61676 2458888.7711830614
ie3201xgq_ima.fits G141 0 0 58888.27152866 29.86586639774032 29.86586639774032 1 69.61676 2458888.772479383
ie3201xiq_ima.fits G141 0 0 58888.272824955 31.732531195739284 31.732531195739284 0 69.61676 2458888.773775698
ie3201xjq_ima.fits G141 0 0 58888.274121434995 33.5994623915758 33.5994623915758 1 69.61676 2458888.7750721965
ie3201xlq_ima.fits G141 0 0 58888.275417545 35.46586080221459 35.46586080221459 0 69.61676 2458888.776368324
ie3201xnq_ima.fits G141 0 0 58888.276713845 37.332532798172906 37.332532798172906 1 69.61676 2458888.77766464
ie3201xpq_ima.fits G141 0 0 58888.27801014 39.19919759617187 39.19919759617187 0 69.61676 2458888.7789609507
ie3201xqq_ima.fits G141 0 0 58888.279306435 41.065862394170836 41.065862394170836 1 69.61676 2458888.78025726
ie3201xsq_ima.fits G141 0 0 58888.280602735 42.93253440060653 42.93253440060653 0 69.61676 2458888.7815535734
ie3201xuq_ima.fits G141 0 0 58888.28189903 44.79919919860549 44.79919919860549 1 69.61676 2458888.782849882
ie3201xwq_ima.fits G141 0 0 58888.283195325 46.66586399660446 46.66586399660446 0 69.61676 2458888.78414619
ie3201xxq_ima.fits G141 0 0 58888.28449162 48.53252879460342 48.53252879460342 1 69.61676 2458888.7854424976
ie3201xzq_ima.fits F130N 0 1 58888.316887919995 95.18320079077967 0.0 -1 1.706054 2458888.8178394837
