# %ECSV 0.9
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: wave, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt wave
58888.252084215 2458888.753034453 1.8658655940089375 1.8658655940089375 0.0 0.0 0.0 7377675.168881503 724536.8714405287 1.530681818181818
58888.253380509996 2458888.7543307883 3.7325303920079023 3.7325303920079023 0.0 0.0 1.0 7418915.957899601 728525.0739838517 1.530681818181818
58888.25467699 2458888.755627308 5.5994615983217955 5.5994615983217955 0.0 0.0 0.0 7433630.326055612 729918.9566436147 1.530681818181818
58888.255973105 2458888.756923462 7.465867196442559 7.465867196442559 0.0 0.0 1.0 7447601.881279913 731316.6746910651 1.530681818181818
58888.2572694 2458888.7582197953 9.332531994441524 9.332531994441524 0.0 0.0 0.0 7457294.250771069 732191.701089205 1.530681818181818
58888.258565694996 2458888.7595161274 11.199196792440489 11.199196792440489 0.0 0.0 1.0 7464036.720065926 732893.8134563598 1.530681818181818
58888.259861989995 2458888.7608124586 13.065861590439454 13.065861590439454 0.0 0.0 0.0 7470437.723425537 733454.9706856931 1.530681818181818
58888.261158285 2458888.7621087884 14.932526398915797 14.932526398915797 0.0 0.0 1.0 7475123.882289192 733926.9055064897 1.530681818181818
58888.262454585 2458888.763405122 16.79919839487411 16.79919839487411 0.0 0.0 0.0 7479116.0768118 734286.4631967538 1.530681818181818
58888.263750879996 2458888.7647014484 18.665863192873076 18.665863192873076 0.0 0.0 1.0 7478759.4963713465 734277.3484093118 1.530681818181818
58888.265047175 2458888.765997773 20.53252800134942 20.53252800134942 0.0 0.0 0.0 7485077.4036108 734857.1452773693 1.530681818181818
58888.266343475 2458888.7672941014 22.399199997307733 22.399199997307733 0.0 0.0 1.0 7484804.31691022 734854.0109399831 1.530681818181818
58888.26763977 2458888.7685904233 24.265864795306697 24.265864795306697 0.0 0.0 0.0 7488830.417342652 735216.0636353848 1.530681818181818
58888.268936065 2458888.7698867433 26.132529593305662 26.132529593305662 0.0 0.0 1.0 7489036.118784368 735290.2781877891 1.530681818181818
58888.270232359995 2458888.7711830614 27.999194391304627 27.999194391304627 0.0 0.0 0.0 7491358.617410485 735454.917064079 1.530681818181818
58888.27152866 2458888.772479383 29.86586639774032 29.86586639774032 0.0 0.0 1.0 7490272.992151352 735384.5608981107 1.530681818181818
58888.272824955 2458888.773775698 31.732531195739284 31.732531195739284 0.0 0.0 0.0 7493718.33285476 735679.7216675874 1.530681818181818
58888.274121434995 2458888.7750721965 33.5994623915758 33.5994623915758 0.0 0.0 1.0 7490019.8307957 735389.1647848571 1.530681818181818
58888.275417545 2458888.776368324 35.46586080221459 35.46586080221459 0.0 0.0 0.0 7493952.052085117 735707.7846433832 1.530681818181818
58888.276713845 2458888.77766464 37.332532798172906 37.332532798172906 0.0 0.0 1.0 7489859.5569980955 735341.7077648801 1.530681818181818
58888.27801014 2458888.7789609507 39.19919759617187 39.19919759617187 0.0 0.0 0.0 7494657.832825151 735779.0215947881 1.530681818181818
58888.279306435 2458888.78025726 41.065862394170836 41.065862394170836 0.0 0.0 1.0 7493184.098253919 735689.2821165501 1.530681818181818
58888.280602735 2458888.7815535734 42.93253440060653 42.93253440060653 0.0 0.0 0.0 7496903.934119516 735993.2707916417 1.530681818181818
58888.28189903 2458888.782849882 44.79919919860549 44.79919919860549 0.0 0.0 1.0 7491371.390751675 735487.4029312924 1.530681818181818
58888.283195325 2458888.78414619 46.66586399660446 46.66586399660446 0.0 0.0 0.0 7495740.545794103 735878.0338165201 1.530681818181818
58888.28449162 2458888.7854424976 48.53252879460342 48.53252879460342 0.0 0.0 1.0 7493636.475957307 735733.5417017988 1.530681818181818
58888.318183845 2458888.8191354494 97.04933279310353 1.866132002323866 0.0 1.0 0.0 7480521.6961857425 734422.8068259995 1.530681818181818
58888.319480139995 2458888.8204317843 98.9159975911025 3.7327968003228307 0.0 1.0 1.0 7485008.023770902 734911.7438725439 1.530681818181818
58888.320776435 2458888.821728119 100.78266239957884 5.599461608799174 0.0 1.0 0.0 7489869.139299371 735323.9229920835 1.530681818181818
58888.322072735 2458888.8230244583 102.64933439553715 7.466133604757488 0.0 1.0 1.0 7488429.911189418 735235.6029829055 1.530681818181818
58888.32336903 2458888.8243207913 104.51599919353612 9.332798402756453 0.0 1.0 0.0 7492181.349005346 735542.3934880483 1.530681818181818
58888.324665325 2458888.825617124 106.38266400201246 11.199463211232796 0.0 1.0 1.0 7489551.484864869 735348.1033414515 1.530681818181818
58888.32596162 2458888.826913455 108.24932880001143 13.066128009231761 0.0 1.0 0.0 7491733.867238428 735505.3704016182 1.530681818181818
58888.32725773 2458888.8282095995 110.11572720017284 14.932526409393176 0.0 1.0 1.0 7493500.855073687 735724.1813321803 1.530681818181818
58888.328554215 2458888.8295061174 111.9826655939687 16.79946480318904 0.0 1.0 0.0 7493159.161003671 735638.1135734617 1.530681818181818
58888.329850509996 2458888.830802444 113.84933039196767 18.666129601188004 0.0 1.0 1.0 7491086.390600887 735491.5500124318 1.530681818181818
58888.331146805 2458888.8320987695 115.71599520044401 20.532794409664348 0.0 1.0 0.0 7495850.459662935 735897.329736896 1.530681818181818
58888.332443105 2458888.833395098 117.58266719640233 22.39946640562266 0.0 1.0 1.0 7491482.322302973 735500.7736866866 1.530681818181818
58888.3337394 2458888.8346914193 119.44933199440129 24.266131203621626 0.0 1.0 0.0 7495734.822719239 735884.1089573345 1.530681818181818
58888.335035694996 2458888.8359877393 121.31599679240026 26.13279600162059 0.0 1.0 1.0 7492883.00034697 735666.5211460079 1.530681818181818
58888.336331989995 2458888.837284058 123.18266159039922 27.999460799619555 0.0 1.0 0.0 7495141.332054469 735820.832667141 1.530681818181818
58888.337628099995 2458888.8385801897 125.04905999056064 29.86585919978097 0.0 1.0 1.0 7491646.344327136 735520.0619761884 1.530681818181818
58888.338924585 2458888.8398766946 126.91599839483388 31.732797604054213 0.0 1.0 0.0 7496453.29466856 735947.4693715185 1.530681818181818
58888.340220879996 2458888.841173008 128.78266319283284 33.59946240205318 0.0 1.0 1.0 7494061.971604033 735772.3694418898 1.530681818181818
58888.341517175 2458888.842469321 130.6493280013092 35.46612721052952 0.0 1.0 0.0 7495521.213763797 735862.884737435 1.530681818181818
58888.34281329 2458888.8437654525 132.51573359942995 37.332532808650285 0.0 1.0 1.0 7492646.923774995 735610.3889503072 1.530681818181818
58888.34410977 2458888.845061947 134.38266479526646 39.1994640044868 0.0 1.0 0.0 7495543.8724374 735859.0035050609 1.530681818181818
58888.345406065 2458888.8463582564 136.24932959326543 41.066128802485764 0.0 1.0 1.0 7490683.052961194 735418.6876051372 1.530681818181818
58888.346702359995 2458888.8476545657 138.1159943912644 42.93279360048473 0.0 1.0 0.0 7496756.403891744 735976.2819777335 1.530681818181818
58888.34799866 2458888.8489508787 139.9826663977001 44.79946560692042 0.0 1.0 1.0 7492186.89721572 735592.8112267925 1.530681818181818
58888.349294955 2458888.8502471866 141.84933119569905 46.666130404919386 0.0 1.0 0.0 7495121.168383421 735821.2724241652 1.530681818181818
58888.35059125 2458888.8515434945 143.71599599369802 48.53279520291835 0.0 1.0 1.0 7492011.1012392705 735575.0346710157 1.530681818181818
58888.384294955 2458888.8852479253 192.2493312007282 1.866132002323866 0.0 2.0 0.0 7475547.785764153 733937.9345093322 1.530681818181818
58888.38559125 2458888.8865442607 194.11599599872716 3.7327968003228307 0.0 2.0 1.0 7477230.873264808 734162.8331909804 1.530681818181818
